ax,ay,az,gx,gy,gz,temperature
Initializing MPU6050...
MPU6050 connected.
0.23, -0.46, 0.06, -1.92, 0.71, 0.60, 30.47 °C
0.23, -0.46, 0.06, -2.10, 0.68, -0.29, 30.50 °C
0.23, -0.46, 0.06, -2.14, 0.89, 0.33, 30.49 °C
0.23, -0.46, 0.06, -2.26, 1.16, 0.46, 30.52 °C
0.23, -0.46, 0.06, -2.15, 1.04, 0.66, 30.49 °C
0.23, -0.46, 0.06, -1.61, 0.22, -0.92, 30.51 °C
0.23, -0.46, 0.06, -2.15, 0.70, 1.08, 30.52 °C
0.23, -0.46, 0.06, -2.06, 0.99, 0.68, 30.52 °C
0.23, -0.46, 0.06, -2.36, 1.23, -0.68, 30.52 °C
0.23, -0.46, 0.06, -2.25, 0.92, -0.08, 30.54 °C
0.23, -0.46, 0.06, -2.04, 0.78, -0.27, 30.55 °C
0.23, -0.46, 0.06, -2.34, 1.54, 0.53, 30.55 °C
0.23, -0.46, 0.06, -1.64, -0.07, -1.14, 30.55 °C
0.23, -0.46, 0.06, -2.31, 0.76, -0.25, 30.56 °C
0.23, -0.46, 0.06, -1.82, 0.87, 1.22, 30.58 °C
0.23, -0.45, 0.05, -1.85, 0.44, 0.01, 30.58 °C
0.23, -0.46, 0.06, -2.18, 0.69, 1.21, 30.58 °C
0.23, -0.46, 0.06, -2.17, 0.62, -0.56, 30.56 °C
0.23, -0.46, 0.06, -2.14, 0.92, -0.36, 30.59 °C
0.23, -0.46, 0.06, -1.69, 0.47, -0.04, 30.59 °C
0.23, -0.46, 0.06, -2.12, 0.75, -0.68, 30.60 °C
0.23, -0.46, 0.06, -2.03, 0.85, 1.18, 30.61 °C
0.23, -0.46, 0.06, -2.08, 0.37, -1.41, 30.61 °C
0.23, -0.46, 0.06, -2.26, 1.05, 1.25, 30.60 °C
0.23, -0.46, 0.06, -2.08, 0.89, 0.03, 30.61 °C
0.23, -0.46, 0.06, -2.03, 0.73, 0.11, 30.62 °C
0.23, -0.46, 0.06, -2.15, 0.81, 0.08, 30.60 °C
0.23, -0.46, 0.06, -2.08, 0.87, 0.08, 30.62 °C
0.23, -0.46, 0.06, -2.06, 0.92, 1.34, 30.62 °C
0.23, -0.46, 0.06, -2.29, 1.21, -0.50, 30.62 °C
0.23, -0.46, 0.06, -2.45, 1.47, -0.43, 30.64 °C
0.24, -0.46, 0.06, -1.89, 0.50, 0.08, 30.66 °C
0.23, -0.46, 0.06, -2.05, 0.73, 0.73, 30.64 °C
0.23, -0.46, 0.06, -1.90, 0.21, -1.87, 30.65 °C
0.23, -0.46, 0.06, -1.98, 0.62, 0.01, 30.66 °C
0.23, -0.46, 0.06, -2.09, 1.12, 0.83, 30.67 °C
0.24, -0.46, 0.06, -2.24, 1.23, -0.11, 30.66 °C
0.23, -0.46, 0.06, -2.29, 1.15, -0.02, 30.66 °C
0.24, -0.46, 0.06, -1.97, 0.58, -0.01, 30.67 °C
0.24, -0.46, 0.06, -2.17, 0.67, -0.21, 30.69 °C
0.23, -0.46, 0.06, -2.19, 1.02, 0.20, 30.68 °C
0.23, -0.46, 0.06, -2.31, 0.99, -0.08, 30.69 °C
0.23, -0.46, 0.06, -2.17, 0.98, 0.07, 30.68 °C
0.23, -0.46, 0.06, -2.12, 0.98, 0.34, 30.72 °C
0.23, -0.46, 0.06, -2.01, 0.53, 0.31, 30.70 °C
0.23, -0.46, 0.06, -2.24, 1.21, 0.72, 30.71 °C
0.23, -0.46, 0.06, -2.08, 0.75, 0.25, 30.70 °C
0.23, -0.46, 0.06, -2.11, 0.75, 1.18, 30.73 °C
0.23, -0.46, 0.06, -1.92, 0.38, -0.44, 30.73 °C
0.23, -0.46, 0.06, -2.04, 0.82, -1.01, 30.73 °C
0.23, -0.46, 0.06, -2.02, 0.96, 1.73, 30.74 °C
0.23, -0.46, 0.06, -2.11, 1.11, -1.00, 30.75 °C
0.23, -0.46, 0.06, -2.41, 1.40, 1.14, 30.75 °C
0.23, -0.46, 0.06, -2.12, 0.75, 0.76, 30.77 °C
0.23, -0.46, 0.06, -1.92, 0.55, -0.97, 30.77 °C
0.23, -0.46, 0.06, -1.95, 0.76, 0.32, 30.77 °C
0.23, -0.46, 0.06, -2.18, 0.94, -1.64, 30.75 °C
0.23, -0.46, 0.06, -2.14, 1.02, 0.18, 30.76 °C
0.23, -0.46, 0.06, -2.08, 0.89, 0.60, 30.75 °C
0.23, -0.46, 0.06, -2.09, 0.80, 0.83, 30.76 °C
0.23, -0.46, 0.06, -2.27, 1.47, 0.88, 30.78 °C
0.23, -0.46, 0.06, -2.28, 0.61, -0.27, 30.77 °C
0.23, -0.46, 0.06, -1.94, 0.85, 0.28, 30.78 °C
0.23, -0.46, 0.06, -2.24, 1.34, 0.38, 30.78 °C
0.23, -0.46, 0.06, -2.06, 0.73, -0.50, 30.78 °C
0.23, -0.46, 0.06, -2.50, 1.35, -2.56, 30.79 °C
0.23, -0.46, 0.06, -2.26, 1.03, 0.35, 30.81 °C
0.23, -0.46, 0.06, -2.28, 1.32, -0.27, 30.80 °C
0.24, -0.45, 0.06, -2.70, 0.33, -0.26, 30.80 °C
0.23, -0.46, 0.06, -1.04, 0.92, -0.65, 30.82 °C
0.23, -0.45, 0.06, -1.17, 1.21, -0.18, 30.81 °C
0.24, -0.46, 0.06, -2.41, 0.67, 0.09, 30.80 °C
0.24, -0.45, 0.06, -2.58, 1.35, 0.98, 30.82 °C
0.24, -0.46, 0.06, -2.02, 0.57, 0.25, 30.83 °C
0.24, -0.46, 0.06, -2.38, 0.95, -0.07, 30.84 °C
0.24, -0.46, 0.06, -1.97, 0.82, 0.82, 30.83 °C
0.23, -0.46, 0.06, -1.99, 0.64, -0.39, 30.85 °C
0.24, -0.45, 0.06, -2.25, 1.15, 0.71, 30.85 °C
0.24, -0.46, 0.06, -2.12, 0.93, 0.36, 30.84 °C
